,title,description
2217,"DOF: Summary of Neighborhood Sales in Brooklyn for Class 1-, 2- and 3-Family homes - 2008","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2- and 3-Family homes in Brooklyn in 2008._x000D_
_x000D_
This list includes all sales of 1-, 2-, and 3-Family Homes' from January 1st, 2008 to December 31, 2008, whose sale price is equal to or more than $150,000.  The Building Class Category for Sales is based on the Building Class at the time of the sale._x000D_
Update Frequency: Annually"
2218,Libraries - 2013 Visitors by Location,"The Chicago Public Library has more than 70 locations. The Chicago Public Library consists of the Harold Washington Library Center, Sulzer and Woodson regional libraries and over 70 neighborhood branches. Edgewater Branch reopened in a new, 2-story facility on 6/22/2013. Humboldt Park Branch closed 3/26/2012 for construction of a 5,000-square-foot addition; it reopened 2/9/2013. Albany Park Branch closed 9/22/2012 for construction of a new branch expected to open in 2014. Interim services are being provided in the Albany Park community. Gage Park Branch closed 2/22/2013-3/1/2013 for full carpet replacement and South Shore Branch was closed from 5/13/2013-6/29/2013 for repairs and renovation. Many locations experience sporadic emergency closures due to heating or air conditioning issues, or area power outages."
2219,2018 Registered Foreclosure Properties,"2018 Foreclosure Properties registered with the LAHD from January 1, 2018 through December 31, 2018"
2220,Directory of Barbecuing Areas,Designated barbecuing areas in New York City Department of Parks & Recreation properties.
2221,WAT Owners Shift Reimbursement 2018,"This dataset lists wheelchair accessible taxicab (WAT) owners who received reimbursements from the Wheelchair Accessible Services Fund for shifts operated between January 1 and December 30, 2018. The reimbursement amount is $15 per shift."
2222,Childcare Regulated Programs Map,Data to solve NYC DOE's Big Idea.
2223,Teach for America School List,Data to help Teach for America Solve their Big Idea.
2224,Headcount Actuals By Funding Source,Funding of the actual Full-Time and Full-Time equivalent headcount that appears in the Mayor's Message Agency Financial tables. This dataset is updated annually.
2225,Department for the Aging (DFTA) Bottom Line Budgets of Caregiver Resources Contracted Providers,Bottom Line Budgets of contracted agencies providing Caregiver Resources Services.
2226,2007 NYC School Survey,"Every year since 2007, all parents, all teachers, and students take the NYC School Survey. The survey ranks among the largest surveys of any kind ever conducted nationally. _x000D_
_x000D_
Survey results provide insight into a school's learning environment and contribute a measure of diversification that goes beyond test scores on the Progress Report. Survey questions assess the community's opinions on academic expectations, communication, engagement, and safety and respect. School leaders can use survey results to better understand their own school's strengths and target areas for improvement. _x000D_
_x000D_
Approximately 600,000 New Yorkers participated in the survey in 2007. 216,914 parents, 31,592 teachers, and 338,201 students submitted surveys and contributed feedback to their schools."
2227,Lottery Medallion,This data set includes all transfer dates and values of taxicab and for-hire vehicle medallions.
2228,WDR3,"All building permits issued or in progress within the city of Seattle, subject to Waste Diversion Report requirements"
2229,"Campaign Finance - Late Contribution Period - November 3, 2015 Election","This dataset includes all itemized late contributions (cumulative $1,000 or more) e-filed on Fair Political Practices Commission (FPPC) Form 497 Late Contribution Report from 2008 to the present.The data is current as of the last modified date on this dataset.See the data key for column definitions:  https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76"
2230,2020 DOE Kindergarten Admissions Guide,Directory of Department of Education Elementary Schools in 2020.
2231,FY2018 MMR Agency Performance Indicators,NYC agency performance indicators from the FY18 Mayor's Management Report (MMR)
2232,"Third-Party Expenditures by Organizations in Support or Opposition of Candidates - November 6, 2012 v2","San Francisco Campaign and Governmental Conduct Code (""S.F. C&GC Code"") sections 1.143(c), 1.152(a)(3), 1.161(b), 1.161.5, and 1.160.5 require persons who make any independent expenditure, electioneering communication, or member communication that clearly identifies a candidate for City elective office or who authorizes, administers or pays for a persuasion poll to file disclosure statements with the Ethics Commission. For detailed instructions, please see Third Party Disclosure Form Regarding Candidates."
2233,Recurring Resident Economic Empowerment and Sustainability Programs,Regulary occuring REES programs
2234,Campaign Consultants - Client Payment Report,"Campaign Consultants are required to report ���������economic consideration����� promised by or received from clients in exchange for campaign consulting services during the applicable reporting period.  Economic consideration includes payments, fees, commissions, and reimbursements for expenses, gifts or anything else of value."
2235,2020 DOE Gifted and Talented Admissions Guide,Directory of Department of Education Elementary Schools in 2020.
2236,Selection Criteria for Fall 2021 High School Admissions,Selection Criteria for Fall 2021 High School Admissions.
2237,Campaign Consultants - Political Contributions,"Filers must report each political contribution of $100 or more to a candidate for local office, a committee controlled by a local officeholder or a candidate for local office, or a ballot measure committee whether or not the committee is controlled by a local officeholder or a candidate for local office.  Filers must report contributions of $100 or more made or delivered by the filer, or made by the filer�����s client at the filer�����s behest, or for which the filer acted as an agent or intermediary during the reporting period. This chart indicates the political contributions made by campaign consultants during the reporting period."
2238,2012 - 2015 Historical Daily Attendance By School,"Daily listing (counts) of students registered, present, absent and released by School DBN."
2239,FY2019 MMR Spending and Budget,"NYC agency spending and budget information by units of appropriation from the _x000D_
Mayor's Management Report (MMR). For information related to the ���Applicable MMR Goals��� column, refer to <a href=""https://data.cityofnewyork.us/City-Government/FY19-MMR-Goals-and-Services/qe6k-pu9t"">FY19 MMR Goals and Services</a>._x000D_
_x000D_
Use ���CSV for Excel��� when downloading this dataset and then sort in alphabetical order by Agency."
2240,DYCD after-school-programs: Housing,"Facilities in New York City, by agency and site, that offer Family Support after-school ���Housing Assistance and Advocacy Programs��� for adults and young adults ages 18 and up - Department of Youth and Community Development (DYCD)._x000D_
Update Frequency: Annually"
